OpcodeBytes,OperandBytes,FirstOperandMask,FirstOperandHexDec,FirstOperandSignedUnsigned,SecondOperandMask,SecondOperandHexDec,SecondOperandSignedUnsigned,AssemblyString
00,,,,,,,,"BRK"
01,00,FF,H,U,,,,"ORA (?,X)"
02,00,FF,H,U,,,,"COP ?"
03,00,FF,H,S,,,,"ORA ?,S"
04,00,FF,H,U,,,,"TSB ?"
05,00,FF,H,U,,,,"ORA ?"
06,00,FF,H,U,,,,"ASL ?"
07,00,FF,H,U,,,,"ORA [?]"
08,,,,,,,,"PHP"
09,00,FF,H,U,,,,"ORA #?"
0A,,,,,,,,"ASL A"
0B,,,,,,,,"PHD"
0C,0000,FFFF,H,U,,,,"TSB ?"
0D,0000,FFFF,H,U,,,,"ORA ?"
0E,0000,FFFF,H,U,,,,"ASL ?"
0F,000000,FFFFFF,H,U,,,,"ORA ?"
10,00,FF,H,S,,,,"BPL ?"
11,00,FF,H,U,,,,"ORA (?),Y"
12,00,FF,H,U,,,,"ORA (?)"
13,00,FF,H,S,,,,"ORA (?,S),Y"
14,00,FF,H,U,,,,"TRB ?"
15,00,FF,H,U,,,,"ORA ?,X"
16,00,FF,H,U,,,,"ASL ?,X"
17,00,FF,H,U,,,,"ORA [?],Y"
18,,,,,,,,"CLC"
19,0000,FFFF,H,U,,,,"ORA ?,Y"
1A,,,,,,,,"INC A"
1B,,,,,,,,"TCS"
1C,0000,FFFF,H,U,,,,"TRB ?"
1D,0000,FFFF,H,U,,,,"ORA ?,X"
1E,0000,FFFF,H,U,,,,"ASL ?,X"
1F,000000,FFFFFF,H,U,,,,"ORA ?,X"
20,0000,FFFF,H,U,,,,"JSR ?"
21,00,FF,H,U,,,,"AND (?,X)"
22,000000,FFFFFF,H,U,,,,"JSL ?"
23,00,FF,H,S,,,,"AND ?,S"
24,00,FF,H,U,,,,"BIT ?"
25,00,FF,H,U,,,,"AND ?"
26,00,FF,H,U,,,,"ROL ?"
27,00,FF,H,U,,,,"AND [?]"
28,,,,,,,,"PLP"
29,00,FF,H,U,,,,"AND #?"
2A,,,,,,,,"ROL A"
2B,,,,,,,,"PLD"
2C,0000,FFFF,H,U,,,,"BIT ?"
2D,0000,FFFF,H,U,,,,"AND ?"
2E,0000,FFFF,H,U,,,,"ROL ?"
2F,000000,FFFFFF,H,U,,,,"AND ?"
30,00,FF,H,S,,,,"BMI ?"
31,00,FF,H,U,,,,"AND (?),Y"
32,00,FF,H,U,,,,"AND (?)"
33,00,FF,H,S,,,,"AND (?,S),Y"
34,00,FF,H,U,,,,"BIT ?,X"
35,00,FF,H,U,,,,"AND ?,X"
36,00,FF,H,U,,,,"ROL ?,X"
37,00,FF,H,U,,,,"AND [?],Y"
38,,,,,,,,"SEC"
39,0000,FFFF,H,U,,,,"AND ?,Y"
3A,,,,,,,,"DEC A"
3B,,,,,,,,"TSC"
3C,0000,FFFF,H,U,,,,"BIT ?,X"
3D,0000,FFFF,H,U,,,,"AND ?,X"
3E,0000,FFFF,H,U,,,,"ROL ?,X"
3F,000000,FFFFFF,H,U,,,,"AND ?,X"
40,,,,,,,,"RTI"
41,00,FF,H,U,,,,"EOR (?,X)"
42,00,FF,H,U,,,,"WDM ?"
43,00,FF,H,S,,,,"EOR ?,S"
44,0000,FF00,H,U,00FF,H,U,"MVP #?,#^"
45,00,FF,H,U,,,,"EOR ?"
46,00,FF,H,U,,,,"LSR ?"
47,00,FF,H,U,,,,"EOR [?]"
48,,,,,,,,"PHA"
49,00,FF,H,U,,,,"EOR #?"
4A,,,,,,,,"LSR A"
4B,,,,,,,,"PHK"
4C,0000,FFFF,H,U,,,,"JMP ?"
4D,0000,FFFF,H,U,,,,"EOR ?"
4E,0000,FFFF,H,U,,,,"LSR ?"
4F,000000,FFFFFF,H,U,,,,"EOR ?"
50,00,FF,H,S,,,,"BVC ?"
51,00,FF,H,U,,,,"EOR (?),Y"
52,00,FF,H,U,,,,"EOR (?)"
53,00,FF,H,S,,,,"EOR (?,S),Y"
54,0000,FF00,H,U,00FF,H,U,"MVN #?,#^"
55,00,FF,H,U,,,,"EOR ?,X"
56,00,FF,H,U,,,,"LSR ?,X"
57,00,FF,H,U,,,,"EOR [?],Y"
58,,,,,,,,"CLI"
59,0000,FFFF,H,U,,,,"EOR ?,Y"
5A,,,,,,,,"PHY A"
5B,,,,,,,,"TCD"
5C,000000,FFFFFF,H,U,,,,"JMP ?"
5D,0000,FFFF,H,U,,,,"EOR ?,X"
