OpcodeBytes,OperandBytes,OperandArgumentMask,ArgumentHexDec,ArgumentSignedUnsigned,DasmString
00,00,FF,H,U,"NEG ?"
12,,,,,"NOP"
10AE,84,00,,,"LDY ,X"
10AE,94,00,,,"LDY [,X]"
10AE,A4,00,,,"LDY ,Y"
10AE,B4,00,,,"LDY [,Y]"
10AE,C4,00,,,"LDY ,U"
10AE,D4,00,,,"LDY [,U]"
10AE,E4,00,,,"LDY ,S"
10AE,F4,00,,,"LDY [,S]"
10AE,00,1F,H,S,"LDY ?,X"
10AE,20,1F,H,S,"LDY ?,Y"
10AE,40,1F,H,S,"LDY ?,U"
10AE,60,1F,H,S,"LDY ?,S"
10AE,8800,00FF,H,S,"LDY ?,X"
10AE,9800,00FF,H,S,"LDY [?,X]"
10AE,A800,00FF,H,S,"LDY ?,Y"
10AE,B800,00FF,H,S,"LDY [?,Y]"
10AE,C800,00FF,H,S,"LDY ?,U"
10AE,D800,00FF,H,S,"LDY [?,U]"
10AE,E800,00FF,H,S,"LDY ?,S"
10AE,F800,00FF,H,S,"LDY [?,S]"
10AE,890000,00FFFF,H,S,"LDY ?,X"
10AE,990000,00FFFF,H,S,"LDY [?,X]"
10AE,A90000,00FFFF,H,S,"LDY ?,Y"
10AE,B90000,00FFFF,H,S,"LDY [?,Y]"
10AE,C90000,00FFFF,H,S,"LDY ?,U"
10AE,D90000,00FFFF,H,S,"LDY [?,U]"
10AE,E90000,00FFFF,H,S,"LDY ?,S"
10AE,F90000,00FFFF,H,S,"LDY [?,S]"

