OpcodeBytes,OperandBytes,FirstOperandMask,FirstOperandHexDec,FirstOperandSignedUnsigned,SecondOperandMask,SecondOperandHexDec,SecondOperandSignedUnsigned,AssemblyString
00,,,,,,,,"NOP"
01,,,,,,,,"TCALL 0"
02,00,FF,H,U,,,,"SET1 ?.0"
03,0000,FF00,H,U,00FF,H,S,"BBS ?.0, ^"
04,00,FF,H,U,,,,"OR A, ?"
05,0000,FFFF,H,U,,,,"OR A, ?"
06,,,,,,,,"OR A, (X)"
07,00,FF,H,U,,,,"OR A, [?+X]"
08,00,FF,H,U,,,,"OR A, #?"
09,0000,FF00,H,U,00FF,H,U,"OR ^, ?"
0A,0000,FF1F,H,U,00E0,D,U,"OR1 C, ?.^"
0B,00,FF,H,U,,,,"ASL ?"
0C,0000,FFFF,H,U,,,,"ASL ?"
0D,,,,,,,,"PUSH PSW"
0E,0000,FFFF,H,U,,,,"TSET1 ?"
0F,,,,,,,,"BRK"
10,00,FF,H,S,,,,"BPL ?"
11,,,,,,,,"TCALL 1"
12,00,FF,H,U,,,,"CLR1 ?.0"
13,0000,FF00,H,U,00FF,H,S,"BBC ?.0, ^"
14,00,FF,H,U,,,,"OR A, ?+X"
15,0000,FFFF,H,U,,,,"OR A, ?+X"
16,0000,FFFF,H,U,,,,"OR A, ?+Y"
17,00,FF,H,U,,,,"OR A, [?]+Y"
18,0000,FF00,H,U,00FF,H,U,"OR ^, #?"
19,,,,,,,,"OR (X), (Y)"
1A,00,FF,H,U,,,,"DECW ?"
1B,00,FF,H,U,,,,"ASL ?+x"
1C,,,,,,,,"ASL A"
1D,,,,,,,,"DEC X"
1E,0000,FFFF,H,U,,,,"CMP X, ?"
1F,0000,FFFF,H,U,,,,"jmp [?+X]"
20,,,,,,,,"CLRP"
21,,,,,,,,"TCALL 2"
22,00,FF,H,U,,,,"SET1 ?.1"
23,0000,FF00,H,U,00FF,H,S,"BBS ?.1, ^"
24,00,FF,H,U,,,,"AND A, ?"
25,0000,FFFF,H,U,,,,"AND A, ?"
26,,,,,,,,"AND A, (X)"
27,00,FF,H,U,,,,"AND A, [?+X]"
28,00,FF,H,U,,,,"AND A, #?"
29,0000,FF00,H,U,00FF,H,U,"AND ^, ?"
2A,0000,FF1F,H,U,00E0,D,U,"OR1 C, /?.^"
2B,00,FF,H,U,,,,"ROL ?"
2C,0000,FFFF,H,U,,,,"ROL ?"
2D,,,,,,,,"PUSH A"
2E,0000,FF00,H,U,00FF,H,S,"CBNE ?, ^"
2F,00,FF,H,S,,,,"BRA ?"
30,00,FF,H,S,,,,"BMI ?"
31,,,,,,,,"TCALL 3"
32,00,FF,H,U,,,,"CLR1 ?.1"
33,0000,FF00,H,U,00FF,H,S,"BBC ?.1, ^"
34,00,FF,H,U,,,,"AND A, ?+X"
35,0000,FFFF,H,U,,,,"AND A, ?+X"
36,0000,FFFF,H,U,,,,"AND A, ?+Y"
37,00,FF,H,U,,,,"AND A, [?]+Y"
38,0000,FF00,H,U,00FF,H,U,"AND ^, #?"
39,,,,,,,,"AND (X), (Y)"
3A,00,FF,H,U,,,,"INCW ?"
3B,00,FF,H,U,,,,"ROL ?+x"
3C,,,,,,,,"ROL A"
3D,,,,,,,,"INC X"
3E,00,FF,H,U,,,,"CMP X, ?"
3F,0000,FFFF,H,U,,,,"CALL ?"
40,,,,,,,,"SETP"
41,,,,,,,,"TCALL 4"
42,00,FF,H,U,,,,"SET1 ?.2"
43,0000,FF00,H,U,00FF,H,S,"BBS ?.2, ^"
44,00,FF,H,U,,,,"EOR A, ?"
45,0000,FFFF,H,U,,,,"EOR A, ?"
46,,,,,,,,"EOR A, (X)"
47,00,FF,H,U,,,,"EOR A, [?+X]"
48,00,FF,H,U,,,,"EOR A, #?"
49,0000,FF00,H,U,00FF,H,U,"EOR ^, ?"
4A,0000,FF1F,H,U,00E0,D,U,"AND1 C, ?.^"
4B,00,FF,H,U,,,,"LSR ?"
4C,0000,FFFF,H,U,,,,"LSR ?"
4D,,,,,,,,"PUSH X"
4E,0000,FFFF,H,U,,,,"TCLR1 ?"
4F,00,FF,H,U,,,,"PCALL ?"
50,00,FF,H,S,,,,"BVC ?"
51,,,,,,,,"TCALL 5"
52,00,FF,H,U,,,,"CLR1 ?.2"
53,0000,FF00,H,U,00FF,H,S,"BBC ?.2, ^"
