OpcodeBytes,OperandBytes,FirstOperandMask,FirstOperandHexDec,FirstOperandSignedUnsigned,SecondOperandMask,SecondOperandHexDec,SecondOperandSignedUnsigned,AssemblyString
00,,,,,,,,"BRK"
01,00,FF,H,U,,,,"ORA (?,X)"
04,00,FF,H,U,,,,"TSB ?"
05,00,FF,H,U,,,,"ORA ?"
06,00,FF,H,U,,,,"ASL ?"
07,00,FF,H,U,,,,"RMB0 ?"
08,,,,,,,,"PHP"
09,00,FF,H,U,,,,"ORA #?"
0A,,,,,,,,"ASL A"
0C,0000,FFFF,H,U,,,,"TSB ?"
0D,0000,FFFF,H,U,,,,"ORA ?"
0E,0000,FFFF,H,U,,,,"ASL ?"
0F,0000,FF00,H,U,00FF,H,S,"BBR0 ?,^"
10,00,FF,H,S,,,,"BPL ?"
11,00,FF,H,U,,,,"ORA (?),Y"
12,00,FF,H,U,,,,"ORA (?)"
14,00,FF,H,U,,,,"TRB ?"
15,00,FF,H,U,,,,"ORA ?,X"
16,00,FF,H,U,,,,"ASL ?,X"
17,00,FF,H,U,,,,"RMB1 ?"
18,,,,,,,,"CLC"
19,0000,FFFF,H,U,,,,"ORA ?,Y"
1A,,,,,,,,"INC A"
1C,0000,FFFF,H,U,,,,"TRB ?"
1D,0000,FFFF,H,U,,,,"ORA ?,X"
1E,0000,FFFF,H,U,,,,"ASL ?,X"
1F,0000,FF00,H,U,00FF,H,S,"BBR1 ?,^"
20,0000,FFFF,H,U,,,,"JSR ?"
21,00,FF,H,U,,,,"AND (?,X)"
24,00,FF,H,U,,,,"BIT ?"
25,00,FF,H,U,,,,"AND ?"
26,00,FF,H,U,,,,"ROL ?"
27,00,FF,H,U,,,,"RMB2 ?"
28,,,,,,,,"PLP"
29,00,FF,H,U,,,,"AND #?"
2A,,,,,,,,"ROL A"
2C,0000,FFFF,H,U,,,,"BIT ?"
2D,0000,FFFF,H,U,,,,"AND ?"
2E,0000,FFFF,H,U,,,,"ROL ?"
2F,0000,FF00,H,U,00FF,H,S,"BBR2 ?,^"
30,00,FF,H,S,,,,"BMI ?"
31,00,FF,H,U,,,,"AND (?),Y"
32,00,FF,H,U,,,,"AND (?)"
34,00,FF,H,U,,,,"BIT ?,X"
35,00,FF,H,U,,,,"AND ?,X"
36,00,FF,H,U,,,,"ROL ?,X"
37,00,FF,H,U,,,,"RMB3 ?"
38,,,,,,,,"SEC"
39,0000,FFFF,H,U,,,,"AND ?,Y"
3A,,,,,,,,"DEC A"
3C,0000,FFFF,H,U,,,,"BIT ?,X"
3D,0000,FFFF,H,U,,,,"AND ?,X"
3E,0000,FFFF,H,U,,,,"ROL ?,X"
3F,0000,FF00,H,U,00FF,H,S,"BBR3 ?,^"
40,,,,,,,,"RTI"
41,00,FF,H,U,,,,"EOR (?,X)"
45,00,FF,H,U,,,,"EOR ?"
46,00,FF,H,U,,,,"LSR ?"
47,00,FF,H,U,,,,"RMB4 ?"
48,,,,,,,,"PHA"
49,00,FF,H,U,,,,"EOR #?"
4A,,,,,,,,"LSR A"
4C,0000,FFFF,H,U,,,,"JMP ?"
4D,0000,FFFF,H,U,,,,"EOR ?"
4E,0000,FFFF,H,U,,,,"LSR ?"
4F,0000,FF00,H,U,00FF,H,S,"BBR4 ?,^"
50,00,FF,H,S,,,,"BVC ?"
51,00,FF,H,U,,,,"EOR (?),Y"
52,00,FF,H,U,,,,"EOR (?)"
55,00,FF,H,U,,,,"EOR ?,X"
56,00,FF,H,U,,,,"LSR ?,X"
57,00,FF,H,U,,,,"RMB5 ?"
58,,,,,,,,"CLI"
59,0000,FFFF,H,U,,,,"EOR ?,Y"
5A,,,,,,,,"PHY A"
5D,0000,FFFF,H,U,,,,"EOR ?,X"
5E,0000,FFFF,H,U,,,,"LSR ?,X"
5F,0000,FF00,H,U,00FF,H,S,"BBR5 ?,^"
60,,,,,,,,"RTS"
61,00,FF,H,U,,,,"ADC (?,X)"
64,00,FF,H,U,,,,"STZ ?"
65,00,FF,H,U,,,,"ADC ?"
66,00,FF,H,U,,,,"ROR ?"
67,00,FF,H,U,,,,"RMB6 ?"
68,,,,,,,,"PLA"
69,00,FF,H,U,,,,"ADC #?"
6A,,,,,,,,"ROR A"
6C,0000,FFFF,H,U,,,,"JMP (?)"
6D,0000,FFFF,H,U,,,,"ADC ?"
6E,0000,FFFF,H,U,,,,"ROR ?"
6F,0000,FF00,H,U,00FF,H,S,"BBR6 ?,^"
